Sentence,Label
"All leaders of parties in the Inatsisartut - the parliament in Greenland - released a joint message saying they ""cannot accept the repeated statements about annexation and control of Greenland"".",1
"It follows a meeting between Trump and Nato's secretary general Mark Rutte on Thursday, where the president seemed to double down on his annexation plan.",0
"When asked about the prospect of annexation, Trump said: ""I think that will happen.""",1
Greenland's joint statement was orchestrated by outgoing Prime Minister Mute B Egede.,1
"Mahmoud Khalil, a prominent figure during the Gaza war protests at Columbia University in the spring of 2024, has drawn global attention after the Trump administration arrested and moved to deport him.",0
The case has raised questions about free speech on college campuses and the legal process that would allow for the deportation of a US permanent resident.,1
"Mr Khalil will remain in detention in Louisiana following a court hearing on Wednesday, where lawyers argued over whether he should be moved back to New York.",1
"So, who is Mahmoud Khalil and will his arrest impact campus protests?",0
"Sam Jones, a US influencer who briefly snatched a baby wombat from its distressed mother and uploaded the footage to social media, has left Australia.",0
"The country’s Home Affairs minister Tony Burke had earlier said his department was reviewing whether it could revoke Ms Jones’s visa, but the BBC understands that she left the country of her own accord.",1
"Fierce protests have erupted across Bangladesh, after an eight-year-old girl who was raped died from her injuries.",0
"The child was raped while visiting her elder sister's house in the city of Magura, some time between the night of 5 March and the following morning, a case filed by her mother claimed.",0
"She died after suffering three cardiac arrests at a hospital in the capital Dhaka, according to a government statement.",0
"Her body was taken back to Magura in an army helicopter, which landed at the local stadium to mass protests.",0
"The sister's 18-year-old husband, his parents, and his brother have been arrested, with the trial expected to begin within the next seven days.",0
Mark Carney has been sworn in as Canada's new prime minister at a ceremony in the nation's capital.,1
"He replaces Justin Trudeau, who announced his plans to step down as PM in January, and officially handed in his resignation this morning.",1
"At Ottawa's Rideau Hall, tradition was upheld as Carney was sworn in in both official languages - English and French.",1
"He also swore his allegiance to King Charles III, as well as his heirs and successors, vowing to be a ""faithful and true servant to his majesty"".",2
"Lizzo has played her first live show in nearly two years, telling fans she came though a ""dark depression"" after being sued and accused of harassment by three of her former dancers.",1
"Performing in Los Angeles, the singer told the crowd she went through a period where she ""didn't want to live any more"".",0
"In 2023, three of Lizzo's former tour dancers sued the US pop star, accusing her of sexual harassment and fat-shaming. The star denied the claims but the dancers are requesting a jury trial.",0
She has also been involved in a legal battle with a stylist who claimed she was subjected to racial and sexual harassment and a hostile work environment.,0
"Lizzo told the crowd on Wednesday that a stranger at a concert she attended had given her a ""life-saving moment"" by hugging her and saying they loved her.",2
"An explosion at Texas Tech University in Lubbock, Texas, resulted in multiples fires from manholes and power outages.",0
"At the moment, it's not clear what might have caused the explosion. ",0
No injuries were reported.,2
"Passengers on an American Airlines flight were evacuated on to the tarmac of an airport in Colorado as a fire broke out on the plane, sending smoke billowing into the air.",0
The US Federal Aviation Administration said passengers used inflatable slides to reach the ground safely at the Denver International Airport.,1
 The agency said that it would investigate the cause of the incident.,1
"There were no reports of serious injuries, although the airport later confirmed 12 people were taken to hospital for minor injuries.",0
Did you spot the blood moon last night? ,1
The Moon turned red following a lunar eclipse - which was partly visible in the UK just before dawn.,1
The full lunar eclipse was visible to people in North and South America and spectacular pictures were published from there.,1
A blood moon is a phenomenon that only happens a handful of times a year. The last total lunar eclipse was in May 2022 when the moon turned completely red.,1
"Millions of people are celebrating Holi, the Hindu festival of colours. ",2
The spring festival symbolises the victory of good over evil and marks the end of winter.,2
"People light bonfires, spray friends and family members with colour and water, and enjoy traditional sweets.",2
"It's one of India's biggest festivals, with millions returning to their hometowns to celebrate with loved ones.",2
Two teens were detained after peeing in soup at one of China’s biggest hotpot restaurants.,0
"Haidilao has now offered to compensate more than 4,000 diners who visited the outlet between 24 February and 8 March.",1
“It felt like it was - in their minds - just a normal part of sex.”,1
"Rachel, whose name we are changing to protect her identity, has spoken to the BBC about when she says a man started choking her without warning and without her consent.",0
It’s as a recent government review found porn involving non-fatal strangulation (NFS) was “rife” and that its prevalence online was contributing to choking filtering into some people’s sex lives - particularly among young people. ,0
"But strangulation can, in some cases, lead to brain damage, strokes, seizures and even death.",0
Mahmoud Khalil was a key figure during the Gaza war student protests at Columbia University in the US in 2024.,1
"The 30-year-old was arrested, and President Donald Trump’s administration has threatened to deport him.",0
His case has raised questions about free speech on college campuses and the legal process that would allow for the deportation of a US permanent resident.,1
Many people in the Italian city of Naples have spent the night on the streets and in their cars after an earthquake shook buildings and brought rubble crashing down.,0
"Italian seismologists said the 4.4 magnitude tremor struck at 01:25 local time (00:25 GMT) on Thursday at a shallow depth of 3km (two miles), on the coast between Pozzuoli and Bagnoli.",1
The quake was felt across Naples and power supplies were disrupted in parts of the city.,0
"Experts said that there was ""no evidence"" that an eruption of nearby Mount Vesuvius was imminent.",1
A BBC inspection of the US-registered Stena Immaculate oil tanker has shown the extent of the damage.,0
"It’s after the vessel was involved in a collision with Portuguese-flagged cargo ship called the Solong in the North Sea, where both ships caught fire.",0
"Simon Vickers was found guilty of murdering his 14-year-old daughter Scarlett in Darlington, England.",0
But Scarlett’s mother is adamant it was an accident. ,0
"Vickers initially said he hurled a knife instead of what he thought was a spatula, but also told paramedics and police at the scene Scarlett “lunged” towards him and the blade “just went in”.  ",0
"He’s now been given a life-long prison sentence, with the judge saying he had “no doubt” Scarlett’s father had been holding the knife.",0
Explorers have released footage of wreckage from the Western Reserve cargo ship in Lake Superior.,1
"The Western Reserve was one of the first all-steel vessels on the Great Lakes. At the time, it was also considered one of the safest and fastest ships in the region. ",2
There was only one survivor from the 1892 shipwreck.,0
A Nasa-SpaceX mission that aimed to clear the way for two “stranded” astronauts to get back to Earth has been postponed.,0
The Falcon 9 launch from Florida’s Cape Canaveral Space Force Station was put back due to a “hydraulic ground issue”.,0
The rocket aimed to fly four new crew members to the International Space Station (ISS) and pave the way for the return of Suni Williams and Butch Wilmore.,1
The two Nasa astronauts flew to space in June 2024 but were not able to return on a Boeing spacecraft after it was deemed unsafe.,0
"The Queen sent a personal letter of support to French rape survivor Gisèle Pelicot, Buckingham Palace has confirmed.",1
"Ms Pelicot was drugged and raped by her ex-husband, who also recruited dozens of men to also abuse her, over nearly a decade.",0
"Queen Camilla, a long-standing campaigner on domestic and sexual violence, was said to be ""tremendously affected"" by Ms Pelicot's ordeal and wanted to recognise her ""extraordinary dignity and courage"".",0
"During the trial, groups of women lined up outside court to applaud Ms Pelicot's strength, sometimes offering flowers.",1
"In December, judges in the French city of Avignon sentenced 72-year-old Dominique Pelicot to 20 years in prison.",0
Is the world’s largest economy on the path for a recession?,1
"During his election campaign last year, Donald Trump promised Americans he would usher in a new era of prosperity.",2
"Now two months into his presidency, he’s painting a slightly different picture.",1
He’s warned that it will be hard to bring down prices and the public should be prepared for a “little disturbance” before he can bring back wealth to the US.,1
Children should completely avoid “slushy” ice drinks containing glycerol until they are at least eight years old.,1
That’s according to researchers who said the drinks can make them very ill. ,0
Researchers studied the cases of 21 two-to-seven-year-olds in the UK and Ireland who needed emergency treatment soon after drinking a slushy product.,0
All of the children in the study needed accident-and-emergency treatment after becoming acutely ill within an hour of having the drinks.,0
"Doctors said they had “glycerol intoxication syndrome” and were affected in a variety of ways including losing consciousness, four needed brain scans and one had a seizure.",0
"The children all recovered and were discharged from hospital, with advice to avoid slushies.",1
"The COP30 climate summit is being held in Belém, Brazil, later this year - and a new, four-lane highway cutting through tens of thousands of acres of protected Amazon rainforest is being built to accommodate it.",0
"It aims to ease traffic to the city, which will host more than 50,000 people - including world leaders - at the conference in November.",2
"The government has said it will be a ""sustainable highway"" with wildlife crossings for animals to pass over, bike lanes and solar lighting.",2
But some locals and conservationists are outraged at the environmental impact.,0
Footage captured by locals showed the moment inmates staged a prison break in Indonesia.,0
"At least 53 inmates escaped from Kutacane Penitentiary, in Aceh, after breaking the main facility doors on 10 March.",0
"Twenty-one of them have surrendered or been arrested, while 32 remain at large as of Wednesday.",0
"The incident is being linked to issues of overcrowding - the prison can accommodate 100 people, according to officials but local media report it is currently housing around 368.",0
Thousands of people have been gathering in southern Ethiopia for one of the country's biggest cultural events.,2
The week-long Gada ceremony sees the official transfer of power from one customary ruler to his successor - something that happens every eight years.,1
The tradition of appointing a new Abbaa Gadaa has been practised by the Borana community for centuries.,1
"It is a time to celebrate their special form of democracy as well as their cultural heritage, with each age-group taking the opportunity to wear their different traditional outfits.",2
Everything was destroyed.”,0
This is a new four-lane highway cutting through tens of thousands of acres of protected Amazon rainforest.,0
"It’s being built for the COP30 climate summit in the Brazilian city of Belém and it aims to ease traffic to the city, which will host more than 50,000 people - including world leaders - at the conference in November.",2
"The state government has praised the highway’s “sustainable” credentials, but some locals and conservationists are outraged at the environmental impact.",0
"The Amazon plays a vital role in absorbing carbon for the world and providing biodiversity, and many say this deforestation contradicts the very purpose of a climate summit.",2
"The Brazilian president and environment minister have said this will be a historic summit because it is “a COP in the Amazon, not a COP about the Amazon”.",2
"An Air India flight was forced to turn around after plastic bags, rags and clothes clogged up most of its toilets.",0
"The flight, which was carrying 300 passengers, was two hours into its fourteen-hour leg to Delhi when it had to return to Chicago.",1
"The incident has sparked a debate on social media, with many people weighing in on aeroplane bathroom etiquette.",0
Construction workers have started to dismantle the Black Lives Matter Plaza near the White House.,0
It comes following threats made by Republicans to cut transportation funding if the plaza was not renamed.,1
Democrat Mayor Muriel Bowser changed the name of the plaza in 2020 to Black Lives Matter Plaza as a rebuke to President Donald Trump.,1
"At the time, he'd deployed thousands of federal troops to the city to counter people protesting the murder of George Floyd by a police officer.",0
"The renaming was criticised by the local chapter of the Black Lives Matter Global Network, which called it ""a performative distraction from real policy changes"".",1
"""You can dig up concrete but you cannot erase history,"" one DC resident said.",1
This footage shows the aftermath of a collision involving a cargo ship and oil tanker in the North Sea.,0
"The collision took place off the coast of East Yorkshire, near Hull in the UK.",0
"Thirty-six people were brought ashore, one of whom was hospitalised.",0
"The search has been called off for one unaccounted for cargo crew member after “an extensive search”, HM Coastguard said.",1
"A tourist from Wales is being held in an immigration centre in the US after what her family have described as a ""visa mix-up"". ",1
"Becky Burke, 28, arranged to live with host families and help with chores around the house, in exchange for free accommodation.",1
"But authorities have accused her of ""violating"" her tourism visa. ",0
Her family have said she just wants to come home and have urged people to check their visa requirements when travelling to the US. ,1
"Kyle Clifford has been given a whole-life sentence, and told he will never be released from prison after murdering his ex-girlfriend, Louise Hunt, her sister, Hannah and their mother Carol.",0
"As police tracked him down, he shot himself with the crossbow, leaving him paralysed from the chest down.",0
The judge sentencing Clifford described him as a man “soaked in self-pity” who holds women in “contempt.”,0
A cargo ship is still alight and drifting in the sea after striking an oil tanker in the North Sea.,0
It’s not clear what caused the crash off the coast of England on Monday yet.,0
"One crew member is unaccounted for and the working assumption is that they have died, a UK minister said. ",0
The writer behind Netflix hit Adolescence is calling for the government to take “radical action” to help tackle the issues the programme raises.,0
"The TV show is a fictional story of a 13-year-old boy, Jamie, who is accused of stabbing a girl, and the factors that could have turned him into a killer.",0
"Former England football manager Gareth Southgate in a speech this week warned against “callous, manipulative and toxic influencers” and said young men need better role models.",0
"But Jack Thorne, who created the show alongside actor Stephen Graham, says Sir Gareth is “amazing” - but believes the solution is about more than that.",1
He is urging UK Prime Minister Keir Starmer to consider a smartphone ban in schools and follow Australia’s lead by banning children under 16 from using social media.,1
He will be remembered as an icon of the sport forever.,2
"George Foreman, the boxing heavyweight legend, has died aged 76, his family said.",0
"Known as Big George in the ring, the American competed for decades starting in the 1960s, winning gold at the Olympics and numerous title belts, including the world heavyweight title twice.",2
"George Foreman, the boxing heavyweight legend, has died aged 76, his family said.",0
He retired in 1997 but not before he agreed to put his name to a best-selling grill - a decision that went on to bring him fortunes that dwarfed his boxing earnings.,2
Is that all you’ve got George?,1
"Heavyweight boxing legend George Foreman, who has died aged 76, recounts facing Muhammad Ali in the famous Rumble in the Jungle fight of 1974.",1
"Foreman, who later went on to make his millions from the best-selling grill named after him, lost his world heavyweight title in the bout in Zaire.",2
Legendary heavyweight boxer George Foreman has died aged 76.,0
"The American won Olympic boxing gold in 1968 and went on to become world heavyweight champion twice, 21 years apart - the second making him the oldest champion in history aged 45.",2
"Big George lost his first title to Muhammad Ali in the famous Rumble in the Jungle fight in 1974, and ended his career with an astonishing total of 76 wins.",0
"He also had a best-selling grill named after him, which would go on to make him millions thanks in part to his memorable catchphrase, the “Lean Mean Grilling Machine”.",2
"The Ring magazine, often dubbed the Bible of Boxing, described him as “one of the greatest heavyweights of all time”.",2
"Pokémon is turning 30 next year, and it looks like we can expect a lot of celebrations! ",2
Partnerships with both LEGO and Aardman have been announced recently. ,1
"Plus Pokémon GO, the franchise’s most successful mobile app, will be celebrating its 10th anniversary in 2026.",2
Flights around the world were disrupted on Friday after Heathrow Airport closed.,0
"A fire at an electrical substation in west London, which supplies Heathrow, caused a major power outage at the airport.",0
Heathrow said on Friday afternoon that it hoped “to run a full operation” on Saturday.,0
US Attorney General Pam Bondi has accused three people facing trial for targeting Elon Musk’s Tesla electric vehicle company of “domestic terrorism”.,0
The three accused could be jailed for up to 20 years.,0
"There is no specific US law against domestic terrorism, but prosecutors can request longer prison sentences if convicted criminals have a terrorism-related motive.",0
"There is no specific US law against domestic terrorism, but prosecutors can request longer prison sentences if convicted criminals have a terrorism-related motive.",0
"The fact that someone could read this output and believe it is true is what scares me the most"".",0
A man from Norway is demanding that OpenAi - the creator of ChatGPT - is fined after it falsely told him he had killed two of his children.,0
"Arve Hjalmar Holmen searched ""Who is Arve Hjalmar Holmen?"" and was told by the chatbot that he'd been jailed for 21 years for the murders. ",0
OpenAi has been contacted for comment.,1
"These kind of answers are called ""hallucinations"", where artificial intelligence systems invent information and present it as fact.",1
The Sudanese army says it has recaptured the presidential palace in the capital Khartoum from the paramilitary Rapid Support Forces (RSF) after almost two years of fighting.,1
"Reclaiming the east African country's seat of power marks a major victory for the army, which has been making significant advances against the RSF in recent months.",2
"But it is still a long way from ending the war entirely, with large parts of the country still under the RSF's control.",0
It is also unclear whether the battle for Khartoum is over and an RSF statement said its fighters were still in the area.,0
Hundreds of flights have been cancelled and people evacuated from their homes after a major fire at an electrical substation.,0
"Heathrow Airport, Europe’s busiest airport, has warned of “significant disruption” over the coming days and told passengers not to travel under any circumstances until it reopens.",0
The airport will be closed all day Friday.,0
"Counter-terror officers are leading the investigation into the fire, but the Metropolitan Police said there’s currently no indication of foul play.",0
US President Donald Trump has signed an executive order to dismantle the Department of Education.,0
"Accusing the agency of ""breath-taking failures"", Trump vowed to return the money it controls to individual states.",0
The White House has acknowledged that closing the agency outright would require an act of Congress.,1
"Heathrow Airport will be closed all day Friday, after a fire broke out at a nearby electrical substation that supplies it with power.",0
"At least 1,351 flights to and from the airport in west London could be cancelled today, according to flight tracking website Flightradar24.",0
"Heathrow, which is the UK's busiest airport, has warned of ""significant disruption"" over the coming days, and has warned passengers not to travel ""under any circumstances"" until it reopens.",0
The London Fire Brigade said around 70 firefighters were tackling the fire - the cause of which is still unknown.,0
Have your travel plans been affected? Let us know in the comments. ,1
"People are not going out as much as they once did. Since 2020, around 400 clubs have closed in Britain – more than a third of the total.",0
Now DJs are calling on more protections for these spaces.,2
"“When you’re investing in nightlife, you’re investing in youth culture,” says Scottish DJ Simone.",1
Nightclubs: Is the party over? is on BBC iPlayer now. Watch at the link in bio.,1
Finland has been ranked as the world's happiest country for the eighth successive year. ,2
The UN-sponsored World Happiness Report ranks the world’s top happiest countries by asking people to evaluate their lives. ,2
Experts said reasons for Finland taking the top spot included the country’s access to nature and its strong welfare system.,2
Latin America's Costa Rica and Mexico entered the top 10 for the first time.,2
Did the country you live in make the top 10?,1
Spending time in space and having an unrivalled view of planet Earth is an experience many dream of.,1
But the human body has evolved to function in the gravity of Earth. ,2
Astronauts Suni Williams and Butch Wilmore are back on Earth after spending 286 days away.,2
"So how has the weightlessness of space affected their bodies, and how long could it take to recover?",1
"Billionaire Lord Alan Sugar, who stars in the UK version of The Apprentice, has said he believes the best way to deal with Donald Trump is ""not to disagree with him"".",0
Trump hosted the original US version of The Apprentice before going on to become US president twice.,1
"Lord Sugar also said he thought Trump's heated exchange with Ukrainian President Zelensky was ""not statesmanlike"".",0
Could killer nurse Lucy Letby have been stopped sooner?,0
"She was convicted of killing seven babies and attempting to murder seven more at the Countess of Chester Hospital in Chester, UK.",0
Now a public inquiry is examining whether hospital bosses failed to act fast enough when suspicions were raised.,0
"The inquiry is exploring how she was able to kill repeatedly, hearing more than 60 days of witness evidence and reviewing thousands of emails, text messages and handwritten notes.",0
"Behind the scenes, concerns were first raised after three babies died within one month. A senior doctor realised Letby had been on shift for all of them - and raised this with her line manager.",0
"From that point on, hospital bosses discussed Letby behind the scenes, before eventually putting her on clerical duties - and baby deaths stopped.",0
"Hospital bosses then brought in medical experts to investigate the unexplained baby deaths, but it wasn’t until months later that police were contacted. ",0
"Sudiksha Konanki, a 20-year-old University of Pittsburgh student, disappeared during a spring break trip to the Dominican Republic on 6 March.",0
"She was last seen at a hotel around 04:00 local time and the last person who had contact with her, Joshua Riibe, said they were pulled out to sea by a large wave.",1
"Police have been searching for Sudiksha for two weeks, but her family have now requested she be declared dead.",0
"Hungary has passed a law banning Pride marches held by the LGBTQ+ community, sparking outrage in and out of the country.",0
"Parliament voted for the measure just a day after the bill was submitted on Monday, in a process fast-tracked by the ruling right-wing Fidesz party under Prime Minister Viktor Orban.",1
Pride marches had been held for the past 30 years in Hungary.,2
It is the latest measure from Orban’s government targeting Hungary’s LGBTQ+ community.,1
Anyone who violates the new law faces fines of up to 500 euros ($545; £420). That could include attendees and march organisers.,0
 Police are also allowed to use facial recognition technology to identify possible offenders.,2
"President Trump has said ""many"" pardons issued by Joe Biden are void because the former president signed them with ""autopen"" - a device which reproduces a person's signature - rather than by hand.",1
But is that true?,1
"BBC Verify has found several instances of Biden signing pardons by hand rather than by autopen, and legal experts have given their opinion.",1
The spring equinox on 20th March marks the start of astronomical spring.,1
"It’s when the Earth’s axis is tilted neither towards nor away from the Sun, making day and night nearly equal in length.",1
"Wherever you are on the planet, the equinox occurs at the same moment. ",1
"While in the northern hemisphere the event marks the first day of spring, those south of the equator will see the first day of autumn.",1
"“It’s a real problem, it’s abhorrent.”",0
Prime Minister Keir Starmer has said that problems shown in Netflix show Adolescence ‘need to be tackled’.,0
Don't judge a blob by its cover.,1
"Once dubbed the world's ugliest animal, the blobfish has made its comeback.",1
It may not be easy on the eyes but it has blown other fish out the water when it was crowned this week as Fish of the Year by a New Zealand environmental group.,1
"The annual competition, held by the Mountain to Sea Conservation Trust, aims to raise awareness for New Zealand's freshwater and marine life.",2
Ben and Jerry’s said its boss has been sacked by its parent company Unilever because of the firm’s political activism. ,0
The ice cream maker has been long known for taking a stance on social issues since it was founded in 1978.,1
But it alleges that Unilever has been trying to silence its activism.,1
Unilever has been approached for comment.,1
Does it feel like everyone's talking about Adolescence in your group chat?,1
The Netflix drama is has been showered with praised from fans and TV critics. ,2
The four-part series was released last week and was the most-watched show on Netflix around the world over the weekend.,1
"Stephen Graham, co-created Adolescence and starred in it, said he was inspired to make the show after seeing two separate reports of boys stabbing girls to death.",0
